,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
118,Dikson,100,RU,1563145015,84,73.51,80.55,41.62,12.66
119,Freetown,40,BS,1563145326,79,26.61,-78.36,84.2,2.24
120,Port Hardy,40,CA,1563145326,64,50.7,-127.42,68.0,6.93
121,Iskateley,100,RU,1563145327,93,67.68,53.15,47.92,5.99
122,Tuatapere,98,NZ,1563145026,93,-46.13,167.69,39.0,3.0
123,Nikolskoye,17,RU,1563145327,81,59.7,30.79,53.01,1.83
124,Waipawa,0,NZ,1563145327,72,-39.94,176.59,51.01,11.99
125,Pimenta Bueno,0,BR,1563145327,51,-11.68,-61.19,79.06,3.49
126,Georgetown,20,GY,1563144945,74,6.8,-58.16,84.2,9.17
127,Lazo,100,RU,1563145328,84,45.88,133.65,67.36,9.6
128,San Quintin,41,PH,1563145029,79,17.54,120.52,80.32,3.18
129,Kuching,75,MY,1563145328,94,1.56,110.34,73.4,2.24
130,College,1,US,1563145328,46,64.86,-147.8,77.0,6.93
131,Naze,100,NG,1563145328,97,5.43,7.07,73.66,1.88
132,Brae,75,GB,1563144992,93,60.4,-1.35,51.8,4.7
133,Faanui,31,PF,1563144959,73,-16.48,-151.75,79.24,8.3
134,Port Blair,100,IN,1563145329,78,11.67,92.75,84.28,17.72
135,Provideniya,40,RU,1563144955,71,64.42,-173.23,53.6,8.95
136,Kaitangata,64,NZ,1563144926,75,-46.28,169.85,42.01,3.0
137,Meulaboh,95,ID,1563144926,71,4.14,96.13,80.86,7.16
138,Berdigestyakh,95,RU,1563145329,52,62.1,126.7,68.8,7.43
139,Ouargaye,8,BF,1563145330,53,11.5,0.06,83.38,5.93
140,Narsaq,1,GL,1563145004,62,60.91,-46.05,57.2,13.87
141,Guerrero Negro,0,MX,1563144948,83,27.97,-114.04,69.52,12.97
142,Medicine Hat,40,CA,1563145330,39,50.04,-110.68,87.01,10.29
143,Gizo,0,IL,1563145330,69,31.8,34.94,78.8,5.82
144,Port Lincoln,97,AU,1563144929,76,-34.72,135.86,54.22,12.59
145,Bambanglipuro,0,ID,1563145068,80,-7.95,110.28,74.02,14.09
146,Nelson Bay,58,AU,1563144931,58,-32.72,152.14,57.0,23.04
147,Tasiilaq,100,GL,1563144920,81,65.61,-37.64,42.8,9.17
148,Trairi,49,BR,1563144919,92,-3.28,-39.27,71.5,3.42
149,Seddon,75,AU,1563145331,81,-37.81,144.89,51.01,12.75
150,Ancud,0,CL,1563144954,81,-41.87,-73.83,44.6,8.05
151,Hobart,40,AU,1563145247,75,-42.88,147.33,48.0,3.36
152,Nouadhibou,0,MR,1563144805,83,20.93,-17.03,69.8,25.28
153,Haines Junction,12,CA,1563144928,39,60.75,-137.51,65.92,11.27
154,Emerald,79,AU,1563145332,70,-23.53,148.16,46.0,4.7
155,Inhambane,0,MZ,1563144962,93,-23.87,35.38,60.16,3.29
156,Gimbi,62,ET,1563145332,90,8.81,37.79,52.06,1.1
157,Sitka,0,US,1563144966,43,37.17,-99.65,90.0,5.99
158,Sampit,86,ID,1563144938,91,-2.54,112.95,72.22,1.83
159,Oistins,75,BB,1563145333,94,13.07,-59.53,77.0,18.34
160,Hithadhoo,57,MV,1563144924,70,-0.6,73.08,83.02,4.61
161,Clyde River,90,CA,1563145333,93,70.47,-68.59,41.0,14.99
162,Airai,74,TL,1563144925,62,-8.93,125.41,73.12,4.07
163,East London,0,ZA,1563144929,84,-33.02,27.91,52.78,3.53
164,West Bay,75,CA,1563145333,56,49.34,-123.21,75.99,10.29
165,Deputatskiy,58,RU,1563145033,53,69.3,139.9,51.7,11.21
166,Leh,51,IN,1563145334,62,34.16,77.58,37.66,0.89
167,Camocim,50,BR,1563144722,87,-2.9,-40.84,74.74,5.1
168,Sooke,75,CA,1563145334,72,48.37,-123.73,73.99,12.75
169,Goure,41,NE,1563145334,30,13.98,10.27,91.48,4.32
170,Thinadhoo,100,MV,1563145335,69,0.53,72.93,83.38,4.12
171,Mapiripan,96,CO,1563145335,92,2.89,-72.13,74.02,1.92
172,Tromso,20,NO,1563145310,87,69.65,18.96,48.2,5.82
173,Nome,90,US,1563145335,88,30.04,-94.42,91.0,9.17
174,Kolosovka,17,RU,1563145335,83,56.47,73.61,62.86,6.49
175,Sao Filipe,26,CV,1563144965,87,14.9,-24.5,74.38,12.44
176,Oranjemund,0,ZA,1563145336,87,-28.55,16.43,54.4,9.13
177,Grand-Santi,44,GF,1563145336,91,4.27,-54.38,72.58,1.95
178,Bandarbeyla,83,SO,1563145336,66,9.49,50.81,77.98,26.28
179,Pisco,90,PE,1563144981,30,-13.71,-76.2,71.6,14.99
180,Kathmandu,90,NP,1563145253,100,27.71,85.32,66.2,3.33
181,Senador Jose Porfirio,93,BR,1563145337,87,-2.59,-51.95,76.54,4.16
182,Laguna,40,BZ,1563144942,62,16.17,-88.94,89.6,6.93
183,Ormara,86,PK,1563145337,82,25.21,64.64,80.14,14.2
184,Tiksi,94,RU,1563144951,56,71.64,128.87,46.12,12.64
185,Kruisfontein,9,ZA,1563144965,88,-34.0,24.73,48.28,4.16
186,Kodiak,1,US,1563144952,16,39.95,-94.76,91.4,8.05
187,Te Anau,38,NZ,1563144979,72,-45.41,167.72,41.26,4.12
188,Sabha,0,LY,1563145338,17,27.03,14.43,88.96,6.51
189,Alofi,98,NU,1563144998,69,-19.06,-169.92,77.0,13.87
190,Asyut,0,EG,1563145338,65,27.18,31.19,82.4,10.18
191,Santiago de Cao,75,PE,1563145338,82,-7.96,-79.24,64.4,10.29
192,Broome,68,GB,1563144982,71,52.47,1.45,57.99,5.82
193,Port Elizabeth,20,US,1563144947,52,39.31,-74.98,89.6,10.29
194,Chapais,75,CA,1563145338,67,49.78,-74.86,62.6,10.29
195,Kuytun,100,RU,1563145339,95,54.34,101.51,57.64,6.85
196,Havre-Saint-Pierre,90,CA,1563144942,100,50.23,-63.6,55.4,12.75
197,Skorping,37,DK,1563145339,87,56.84,9.89,55.99,8.59
198,Karpathos,8,GR,1563145207,88,35.51,27.21,77.0,8.05
199,Viedma,70,AR,1563145339,58,-40.81,-62.99,47.02,8.55
200,Iguape,73,BR,1563145339,96,-24.7,-47.56,63.94,6.29
201,Bathsheba,75,BB,1563144976,94,13.22,-59.52,77.0,18.34
202,Tilichiki,18,RU,1563145340,55,60.47,166.1,70.96,5.57
203,Khatanga,74,RU,1563144927,53,71.98,102.47,53.68,11.36
204,Eyrarbakki,90,IS,1563145340,82,63.86,-21.15,59.0,12.75
205,Minot,1,US,1563145179,43,48.23,-101.3,89.6,12.75
206,Nyurba,94,RU,1563144967,65,63.29,118.35,65.2,7.43
207,Vostok,100,RU,1563145026,93,46.45,135.83,59.8,4.0
208,Chulym,0,RU,1563145341,80,55.09,80.97,60.52,7.38
209,Fairbanks,1,US,1563144690,46,64.84,-147.72,77.0,6.93
210,Suleja,100,NG,1563145341,94,9.18,7.18,74.56,5.84
211,Cabo San Lucas,20,MX,1563144828,55,22.89,-109.91,96.01,20.8
212,Birao,98,CF,1563145341,89,10.3,22.78,73.84,3.91
213,Katobu,62,ID,1563145342,73,-4.94,122.53,76.9,7.76
214,Fortuna,40,US,1563144937,72,40.6,-124.16,66.99,14.99
215,Kapaa,40,US,1563144783,74,22.08,-159.32,84.2,12.75
216,Ust-Nera,92,RU,1563144983,60,64.57,143.24,63.4,7.94
217,Tanout,1,NE,1563145342,31,14.97,8.88,91.3,7.61
218,Roald,75,NO,1563144977,81,62.58,6.12,52.0,2.24
219,Luderitz,0,NA,1563144956,100,-26.65,15.16,48.2,1.12
220,Nanortalik,94,GL,1563144953,95,60.14,-45.24,38.02,3.96
221,Mayumba,100,GA,1563145343,91,-3.44,10.65,70.96,7.27
222,Abnub,0,EG,1563145343,65,27.27,31.15,82.4,10.18
223,Zaria,76,NG,1563145343,90,11.11,7.72,69.16,5.06
224,Dunedin,30,NZ,1563145025,58,-45.87,170.5,48.0,8.99
225,Eskisehir,40,TR,1563145274,93,39.78,30.52,55.4,4.7
226,Nadym,11,RU,1563145344,67,65.53,72.51,71.86,15.48
227,Weinan,0,CN,1563145344,65,34.5,109.46,77.0,11.18
228,Tema,0,GH,1563145344,83,5.66,-0.01,77.0,10.29
229,Bowen,75,AU,1563145345,76,-20.01,148.25,62.01,2.24
230,Paita,0,PE,1563144936,290,-5.09,-81.11,62.6,11.41
231,Noumea,75,NC,1563144700,94,-22.28,166.46,68.0,13.58
232,Wanning,20,AT,1563144819,100,48.64,13.53,57.0,1.12
233,Mount Isa,14,AU,1563144987,34,-20.73,139.49,50.0,12.75
234,Namibe,46,AO,1563145003,85,-15.19,12.15,66.46,14.18
235,Gajendragarh,71,IN,1563145345,82,15.73,75.98,73.84,10.94
236,Chernyshevskiy,83,RU,1563145346,74,63.01,112.47,66.64,10.16
237,Weston,20,US,1563145346,47,41.2,-73.38,89.6,5.82
238,Sinnamary,0,GF,1563145346,79,5.38,-52.96,81.22,11.74
239,Arraial do Cabo,5,BR,1563144927,73,-22.97,-42.02,72.4,2.66
240,Darhan,100,MN,1563144962,78,49.49,105.92,65.92,4.63
241,Saint-Augustin,75,CA,1563144972,49,45.63,-73.98,75.99,10.29
242,Kupang,20,ID,1563144972,73,-10.16,123.6,73.4,10.29
243,Port Alfred,0,ZA,1563144927,90,-33.59,26.89,60.01,3.0
244,Jamestown,44,AU,1563144953,83,-33.21,138.6,49.18,10.04
245,Naqadeh,0,IR,1563145347,48,36.96,45.39,52.96,5.06
246,Byron Bay,0,AU,1563145347,81,-28.65,153.62,59.0,3.36
247,San Matias,68,BO,1563145348,33,-16.36,-58.4,82.48,1.45
248,Egvekinot,100,RU,1563144948,82,66.32,-179.17,54.4,12.75
249,Touros,40,BR,1563144785,88,-5.2,-35.46,77.0,3.36
250,Kintampo,0,GH,1563145348,91,8.05,-1.73,70.78,4.72
251,Bubaque,71,GW,1563145020,83,11.28,-15.83,79.96,12.64
252,Mount Gambier,75,AU,1563144971,87,-37.83,140.78,50.0,12.75
253,Victoria,75,BN,1563144941,94,5.28,115.24,77.0,1.12
254,Goderich,0,CA,1563144782,77,43.74,-81.71,72.0,2.75
255,Namatanai,100,PG,1563145023,81,-3.66,152.44,78.16,6.15
256,Hobyo,8,SO,1563144921,72,5.35,48.53,77.62,20.33
257,Claveria,100,PH,1563145349,94,8.61,124.89,75.0,1.01
258,Pochutla,75,MX,1563145349,59,15.74,-96.47,89.6,8.05
259,Argentan,0,FR,1563145349,77,48.74,-0.02,59.0,4.7
260,Shestakovo,100,RU,1563145350,82,56.49,103.96,59.44,6.51
261,Harper,40,US,1563144973,36,30.3,-99.24,96.8,9.17
262,Balabac,100,PH,1563145350,80,7.99,117.06,80.68,9.95
263,Doctor Juan Leon Mallorquin,90,PY,1563145350,93,-25.4,-55.27,66.2,8.05
264,Ornskoldsvik,100,SE,1563145350,93,63.29,18.72,57.2,3.44
265,Srednekolymsk,100,RU,1563144999,90,67.46,153.71,46.12,13.82
266,Pacific Grove,1,US,1563145351,35,36.62,-121.92,95.0,20.8
267,Surami,0,GE,1563145351,79,42.02,43.56,56.02,5.32
268,Yulara,0,AU,1563144978,69,-25.24,130.99,39.2,6.93
269,Kilis,0,TR,1563145351,39,36.72,37.12,70.0,1.12
270,Algiers,40,US,1563145351,94,29.94,-90.04,81.0,8.05
271,Kalmunai,98,LK,1563145030,86,7.42,81.82,76.18,2.37
272,Lodingen,100,NO,1563145352,71,68.41,16.0,50.0,13.87
273,Castro,0,CL,1563144957,81,-42.48,-73.76,44.6,8.05
274,Baturaden,35,ID,1563145352,89,-7.32,109.23,68.44,0.36
275,Ambulu,41,ID,1563145352,88,-8.35,113.61,71.14,2.86
276,Atar,5,MR,1563145025,14,20.52,-13.05,98.32,18.95
277,Pitimbu,75,BR,1563145353,100,-7.47,-34.81,73.4,3.36
278,Alencon,0,FR,1563145353,59,48.43,0.08,64.4,9.17
279,Ossora,0,RU,1563144979,59,59.24,163.07,72.04,6.78
280,Odienne,17,CI,1563145329,96,9.51,-7.57,70.78,3.87
281,Chuy,0,UY,1563144922,86,-33.69,-53.46,48.1,7.81
282,Freeport,40,BS,1563145240,79,26.54,-78.7,84.2,2.24
283,Koster,0,ZA,1563145353,40,-25.86,26.9,47.38,5.73
284,Ketchikan,40,US,1563145343,64,55.34,-131.65,68.0,16.11
285,Mogadishu,13,SO,1563145062,80,2.04,45.34,75.64,11.21
286,Kattivakkam,20,IN,1563145354,78,13.22,80.32,80.6,9.17
287,Jiaxing,40,CN,1563145354,100,30.76,120.75,79.0,4.9
288,Vardo,1,US,1563145354,46,39.62,-77.74,91.4,8.05
289,Awjilah,0,LY,1563145354,56,29.14,21.3,76.9,8.46
290,Verkhnevilyuysk,74,RU,1563145024,57,63.45,120.31,67.18,6.89
291,West Wendover,1,US,1563145355,13,40.74,-114.07,96.8,6.93
292,Tocopilla,100,CL,1563145355,83,-22.09,-70.2,58.36,8.7
293,Sabancuy,100,MX,1563145355,76,18.97,-91.18,85.18,14.92
294,Oyo,100,NG,1563145355,96,7.84,3.93,72.58,4.85
295,Chalchihuites,70,MX,1563145356,38,23.48,-103.88,74.38,12.55
296,Terrace,75,CA,1563145356,56,54.52,-128.61,69.01,5.82
297,Dwarka,75,IN,1563144963,69,28.58,77.04,91.0,8.05
298,Lagoa,0,PT,1563145356,73,37.14,-8.45,71.6,11.41
299,Florianopolis,75,BR,1563145241,93,-27.6,-48.55,64.0,5.82
300,Trinidad,40,BO,1563145214,70,-14.83,-64.9,84.2,2.91
301,Aberfeldy,75,GB,1563145357,87,56.62,-3.87,57.2,8.05
302,Ponta Delgada,20,PT,1563144836,82,37.73,-25.67,68.0,10.29
303,Moose Factory,1,CA,1563145357,50,51.26,-80.61,77.0,6.93
304,Onokhoy,20,RU,1563145357,72,51.92,108.05,62.6,8.95
305,Benghazi,0,LY,1563144948,79,32.12,20.07,79.24,3.56
306,Kargil,0,PK,1563144993,70,34.56,76.13,47.92,6.22
307,Hovd,75,NO,1563144974,76,63.83,10.7,51.8,14.99
308,Yongan,28,CN,1563145358,49,39.7,113.69,74.2,3.24
309,Havelock,20,US,1563145335,52,34.88,-76.9,91.4,9.17
310,Balaipungut,99,ID,1563145358,97,1.11,101.31,74.74,1.5
311,Esso,42,RU,1563145358,48,55.93,158.7,64.3,7.96
312,Kjollefjord,100,NO,1563145359,90,70.95,27.35,43.78,4.52
313,Taoudenni,15,ML,1563145006,22,22.68,-3.98,92.74,2.62
314,Zabid,19,YE,1563145359,55,14.2,44.5,70.24,1.59
315,Srikakulam,83,IN,1563145359,69,18.29,83.89,81.76,2.84
316,Tarauaca,81,BR,1563145360,93,-8.16,-70.77,72.94,2.13
317,Togur,0,RU,1563145360,68,58.36,82.83,59.62,5.79
318,Kahului,20,US,1563145360,48,20.89,-156.47,89.6,17.22
319,Lahaina,20,US,1563145328,48,20.87,-156.68,89.6,17.22
320,Griffith,40,AU,1563145226,93,-34.29,146.06,46.4,17.22
321,Bambous Virieux,75,MU,1563145014,88,-20.34,57.76,66.2,4.7
322,Qinggang,90,CN,1563145361,89,28.25,121.28,84.0,0.43
323,Kynashiv,100,UA,1563145361,92,48.67,28.9,59.0,1.34
324,Bilibino,100,RU,1563144995,60,68.06,166.44,61.06,6.17
325,New Richmond,40,CA,1563145361,83,48.17,-65.87,69.8,6.31
326,Sao Jose da Laje,40,BR,1563145361,83,-9.01,-36.06,73.4,4.7
327,Cap-aux-Meules,75,CA,1563145362,88,47.38,-61.86,64.4,13.87
328,Saskylakh,2,RU,1563144945,55,71.97,114.09,49.36,11.9
329,Rio Gallegos,40,AR,1563145362,78,-51.62,-69.22,33.8,4.7
330,Cidreira,100,BR,1563144923,86,-30.17,-50.22,50.26,5.39
331,Itarema,50,BR,1563145362,89,-2.92,-39.92,74.02,5.1
332,High Level,75,CA,1563145362,46,58.52,-117.13,69.8,10.29
333,Betare Oya,97,CM,1563145363,97,5.6,14.08,63.94,0.89
334,Antofagasta,40,CL,1563145363,67,-23.65,-70.4,57.2,10.29
335,Leningradskiy,98,RU,1563144923,95,69.38,178.42,37.3,10.38
336,Broken Hill,90,AU,1563145363,76,-31.97,141.45,48.2,14.99
337,Tomatlan,99,MX,1563145363,71,19.93,-105.25,84.82,16.42
338,Iqaluit,75,CA,1563144949,75,63.75,-68.52,46.4,8.05
339,Cururupu,65,BR,1563145364,97,-1.82,-44.87,71.86,2.57
340,Sri Aman,100,MY,1563145364,94,1.24,111.46,69.8,3.27
341,Lata,88,IN,1563144939,96,30.78,78.62,38.56,1.66
342,Iralaya,75,HN,1563145364,74,15.0,-83.23,86.0,10.29
343,Sokoto,69,NG,1563145365,60,13.06,5.24,82.84,13.82
344,Bara,100,NG,1563145365,90,10.41,10.6,72.94,6.49
345,Tapes,100,BR,1563145365,74,-30.67,-51.4,52.24,7.61
346,Nikolayevka,14,RU,1563145365,65,46.73,38.57,72.04,11.59
347,Nenjiang,87,CN,1563145366,86,49.17,125.23,68.62,6.22
348,Rudnogorsk,100,RU,1563145366,59,57.27,103.75,65.74,4.36
349,Champerico,75,MX,1563145366,49,16.38,-93.6,89.6,9.17
350,Talara,0,PE,1563145366,290,-4.58,-81.27,62.6,11.41
351,Longyearbyen,40,NO,1563144962,81,78.22,15.63,42.8,8.05
352,Gayny,39,RU,1563145366,97,60.3,54.33,49.72,3.15
353,Grindavik,75,IS,1563144694,93,63.84,-22.43,59.0,16.11
354,Hualmay,2,PE,1563144957,87,-11.1,-77.61,61.6,17.0
355,Necochea,100,AR,1563144988,82,-38.55,-58.74,46.0,1.01
356,Channel-Port aux Basques,96,CA,1563145092,97,47.57,-59.14,55.12,17.56
357,Mnogovershinnyy,99,RU,1563145367,67,53.94,139.92,67.9,5.59
358,Rurrenabaque,40,BO,1563145367,70,-14.44,-67.53,86.0,2.24
359,Komsomolskiy,100,RU,1563144981,94,67.55,63.78,47.74,10.6
360,Manasa,61,IN,1563145368,78,24.48,75.27,77.44,18.23
361,Jardim,50,BR,1563145368,56,-21.48,-56.15,72.4,1.12
362,Conway,90,US,1563145368,88,35.09,-92.44,75.0,13.87
363,Sharan,0,AF,1563145369,19,33.15,68.78,64.84,9.84
364,Banyo,76,CM,1563145369,90,6.75,11.81,63.04,3.02
365,Karema,0,TZ,1563145369,59,-6.82,30.44,76.72,6.64
366,Saint-Georges,35,CA,1563145369,68,46.12,-70.67,68.0,3.0
367,Rylsk,68,RU,1563145369,73,51.57,34.68,56.2,3.91
368,Kavaratti,100,IN,1563144983,75,10.57,72.64,82.84,15.88
369,Manjacaze,0,MZ,1563145370,95,-24.71,33.88,59.98,4.36
370,Veshenskaya,0,RU,1563145370,81,49.63,41.73,58.18,3.15
371,Esperance,0,AU,1563145014,100,-33.86,121.89,41.0,9.17
372,Elat,67,CM,1563145370,99,2.91,11.16,65.92,1.57
373,Nantucket,1,US,1563144956,65,41.28,-70.1,86.0,5.82
374,Talnakh,100,RU,1563144946,93,69.49,88.39,53.6,6.71
375,Pedasi,100,PA,1563145371,90,7.53,-80.03,74.56,3.56
